Nivel de Satisfacción;Cuenta de ¿Cómo evaluaría las oportunidades que la universidad ofrece para tu desarrollo profesional?
1 = Nada satisfactorio;11
2 = Poco satisfactorio;24
3 = Neutral;64
4 = Muy Satisfactorio;56
5 = Totalmente satisfactorio;51
Total general;206
;
Etiquetas de fila;Cuenta de Con respecto al apoyo que recibes de la universidad para mantenerte actualizado en tu campo de trabajo ¿cómo lo calificarías?
1 = Nada satisfactorio;9
2 = Poco satisfactorio;30
3 = Neutral;59
4 = Muy Satisfactorio;60
5 = Totalmente satisfactorio;48
Total general;206
